customer_id,churn_prob,ltv,revenue_at_risk,is_top_20_risk,rfm_segment,r_score,f_score,m_score,recommended_action,days_since_last_purchase,total_orders,avg_order_value
CUST0016,0.0002707185900059264,35515.6,9.61,0,New Customers,4,2,4,Discount + Personalized Outreach,31,9,3946.1777777777775
CUST0017,0.9948159038353215,31923.85,31758.35,1,At Risk,2,3,4,Urgent Win-back Campaign,154,10,3192.385
CUST0018,6.713730312105656e-07,36686.2,0.02,0,Loyal Customers,5,3,4,Discount + Personalized Outreach,2,11,3335.1090909090917
CUST0019,0.9983154840832469,19634.34,19601.27,0,Hibernating,2,2,3,Reactivation Email Series,173,7,2804.905714285714
CUST0020,1.0828230824257451e-06,40469.63,0.04,0,Loyal Customers,5,3,4,Discount + Personalized Outreach,3,10,4046.9630000000006
CUST0021,0.9833643883671961,27233.53,26780.48,1,Hibernating,2,2,4,Reactivation Email Series,118,9,3025.947777777777
CUST0022,0.00032492792392375367,37080.23,12.05,0,Loyal Customers,4,3,4,Discount + Personalized Outreach,42,11,3370.9300000000003
CUST0023,0.0006681496538909162,61610.45,41.17,0,Loyal Customers,4,3,5,Discount + Personalized Outreach,57,12,5134.204166666667
CUST0024,0.04587108721490395,51431.82,2359.23,0,Loyal Customers,3,3,5,Discount + Personalized Outreach,62,11,4675.62
CUST0025,0.9934826648379798,45073.34,44779.58,1,Hibernating,2,2,4,Reactivation Email Series,147,9,5008.148888888889
CUST0026,2.3536034585137643e-06,30523.31,0.07,0,New Customers,5,2,4,Discount + Personalized Outreach,7,9,3391.478888888889
CUST0027,2.529831707934776e-06,42578.38,0.11,0,New Customers,5,2,4,Discount + Personalized Outreach,20,8,5322.297500000001
CUST0028,0.0004504195037596321,70399.68,31.71,0,Loyal Customers,4,3,5,Discount + Personalized Outreach,50,13,5415.360000000001
CUST0029,0.9810962590232248,30061.35,29493.08,1,Hibernating,2,2,4,Reactivation Email Series,117,9,3340.15
CUST0030,1.1512970861499557e-06,36526.4,0.04,0,Loyal Customers,5,3,4,Discount + Personalized Outreach,11,14,2609.0285714285715
CUST0031,0.9979739559402578,53401.88,53293.69,1,At Risk,2,3,5,Urgent Win-back Campaign,167,14,3814.420000000001
CUST0032,1.156614313899736e-06,40300.49,0.05,0,Loyal Customers,5,3,4,Discount + Personalized Outreach,8,14,2878.6064285714283
CUST0033,0.9948117096531819,50345.59,50084.38,1,Hibernating,2,2,5,Reactivation Email Series,145,8,6293.19875
CUST0034,8.359100533739089e-07,59986.39,0.05,0,Champions,5,4,5,Discount + Personalized Outreach,4,15,3999.092666666667
CUST0035,0.99999501856913,25035.59,25035.47,1,Hibernating,1,2,4,Reactivation Email Series,196,7,3576.512857142857
CUST0036,0.0004883995411467221,33283.76,16.26,0,Loyal Customers,4,3,4,Discount + Personalized Outreach,50,10,3328.376
CUST0037,0.9925836454543827,36157.88,35889.72,1,Hibernating,2,2,4,Reactivation Email Series,139,9,4017.542222222223
CUST0038,0.9949801413179679,24456.9,24334.13,1,Hibernating,2,2,3,Reactivation Email Series,144,8,3057.1125
CUST0039,0.0002677961312925461,59626.3,15.97,0,Loyal Customers,4,3,5,Discount + Personalized Outreach,34,13,4586.638461538461
CUST0040,0.0006851364620367517,15970.08,10.94,0,New Customers,4,1,3,Discount + Personalized Outreach,51,4,3992.52
CUST0041,0.9445268461902904,30341.11,28657.99,1,Hibernating,2,2,4,Reactivation Email Series,93,9,3371.2344444444443
CUST0042,6.566368991250621e-07,45223.35,0.03,0,Champions,5,4,4,Discount + Personalized Outreach,5,15,3014.8900000000003
CUST0043,1.1102177976982466e-06,38923.36,0.04,0,Loyal Customers,5,3,4,Discount + Personalized Outreach,2,11,3538.4872727272727
CUST0044,2.5167100849474573e-06,20654.95,0.05,0,New Customers,5,2,3,Discount + Personalized Outreach,26,8,2581.86875
CUST0045,0.0009597707903592137,41402.73,39.74,0,Loyal Customers,4,3,4,Discount + Personalized Outreach,43,10,4140.272999999999
CUST0046,2.5207255706153733e-06,36670.02,0.09,0,Loyal Customers,5,3,4,Discount + Personalized Outreach,14,12,3055.8350000000005
CUST0047,5.492795285823191e-07,89759.54,0.05,0,Champions,5,5,5,Discount + Personalized Outreach,0,23,3902.5886956521754
CUST0048,0.0008645238564938464,26221.04,22.67,0,New Customers,4,2,4,Discount + Personalized Outreach,55,9,2913.448888888889
CUST0049,0.00020566540347892044,88336.12,18.17,0,Champions,4,4,5,Discount + Personalized Outreach,37,15,5889.074666666666
CUST0050,0.97561967046826,6358.53,6203.51,0,Lost,2,1,2,Discount + Personalized Outreach,116,4,1589.6325000000002
CUST0051,0.9940501103092162,14344.84,14259.49,0,Hibernating,2,2,3,Reactivation Email Series,145,8,1793.105
CUST0052,0.9888923587988522,59109.56,58452.99,1,At Risk,2,3,5,Urgent Win-back Campaign,139,14,4222.111428571428
CUST0053,2.369599357532672e-06,27153.91,0.06,0,New Customers,5,2,4,Discount + Personalized Outreach,7,7,3879.13
CUST0054,0.947668926681417,51890.03,49174.57,1,At Risk,2,3,5,Urgent Win-back Campaign,97,10,5189.003
CUST0055,9.795117743414261e-07,31220.07,0.03,0,Loyal Customers,5,3,4,Discount + Personalized Outreach,9,11,2838.188181818182
CUST0056,1.7191080157163372e-06,48110.33,0.08,0,Loyal Customers,5,3,4,Discount + Personalized Outreach,16,13,3700.794615384616
CUST0057,1.6251623557773235e-06,31515.05,0.05,0,New Customers,5,2,4,Discount + Personalized Outreach,15,9,3501.672222222222
CUST0058,2.476664343205369e-06,25792.04,0.06,0,Loyal Customers,5,3,4,Discount + Personalized Outreach,27,12,2149.3366666666666
CUST0059,0.0003539499981915823,13714.87,4.85,0,New Customers,4,2,3,Discount + Personalized Outreach,42,7,1959.267142857143
CUST0060,0.9999932324115949,27344.33,27344.14,1,Cant Lose Them,1,3,4,Urgent Win-back Campaign,202,10,2734.433
CUST0061,0.00033010413106851917,48834.6,16.12,0,Loyal Customers,4,3,4,Discount + Personalized Outreach,48,12,4069.55
CUST0062,9.983509321180615e-07,65427.72,0.07,0,Loyal Customers,5,3,5,Discount + Personalized Outreach,6,12,5452.31
CUST0063,0.9999844264301866,43190.28,43189.61,1,Hibernating,1,2,4,Reactivation Email Series,186,9,4798.92
CUST0064,0.20500825999941233,46758.5,9585.88,0,Loyal Customers,3,3,4,Discount + Personalized Outreach,84,10,4675.85
CUST0065,2.112506367104196e-06,52795.5,0.11,0,Loyal Customers,5,3,5,Discount + Personalized Outreach,16,13,4061.192307692308
CUST0066,0.999999869673338,28492.45,28492.45,1,Hibernating,1,2,4,Reactivation Email Series,268,8,3561.55625
CUST0067,6.90485917452493e-06,21803.1,0.15,0,New Customers,5,2,3,Discount + Personalized Outreach,26,9,2422.566666666667
CUST0068,0.9754203950984888,41995.28,40963.05,1,At Risk,2,3,4,Urgent Win-back Campaign,123,14,2999.662857142857
CUST0069,2.0227467002011052e-06,42139.96,0.09,0,Loyal Customers,5,3,4,Discount + Personalized Outreach,19,13,3241.5353846153844
CUST0070,0.0005324880274094785,21221.39,11.3,0,New Customers,4,2,3,Discount + Personalized Outreach,44,5,4244.278
CUST0071,1.843593822924334e-06,29420.15,0.05,0,Loyal Customers,5,3,4,Discount + Personalized Outreach,22,14,2101.4392857142857
CUST0072,0.001656262193139014,36553.71,60.54,0,New Customers,4,2,4,Discount + Personalized Outreach,58,9,4061.523333333333
CUST0073,0.911772036491268,48176.65,43926.12,1,At Risk,2,3,4,Urgent Win-back Campaign,91,10,4817.665
CUST0074,1.4121832092879293e-06,40931.69,0.06,0,Loyal Customers,5,3,4,Discount + Personalized Outreach,1,11,3721.062727272728
CUST0075,0.07806893704837067,44685.05,3488.51,0,Loyal Customers,3,3,4,Discount + Personalized Outreach,77,13,3437.3115384615385
CUST0076,1.9232254045133027e-06,51411.36,0.1,0,Loyal Customers,5,3,5,Discount + Personalized Outreach,8,10,5141.136
CUST0077,0.9999921194487132,35150.88,35150.6,1,Hibernating,1,2,4,Reactivation Email Series,183,8,4393.86
CUST0078,0.9999857106632558,18103.53,18103.27,0,Hibernating,1,2,3,Reactivation Email Series,185,7,2586.218571428571
CUST0079,0.0005974453351526749,29495.7,17.62,0,Loyal Customers,4,3,4,Discount + Personalized Outreach,49,13,2268.9
CUST0080,0.08882704908989522,38864.52,3452.22,0,Loyal Customers,3,3,4,Discount + Personalized Outreach,79,10,3886.452
CUST0081,8.20902314306301e-07,43441.62,0.04,0,Champions,5,4,4,Discount + Personalized Outreach,14,16,2715.10125
CUST0082,0.08421970677191248,57123.33,4810.91,0,Loyal Customers,3,3,5,Discount + Personalized Outreach,72,13,4394.102307692308
CUST0083,1.7110567839071266e-06,74502.47,0.13,0,Loyal Customers,5,3,5,Discount + Personalized Outreach,14,12,6208.5391666666665
CUST0084,1.961728359981264e-06,29803.28,0.06,0,Loyal Customers,5,3,4,Discount + Personalized Outreach,22,11,2709.389090909091
CUST0085,6.308543203348744e-07,70307.09,0.04,0,Champions,5,4,5,Discount + Personalized Outreach,1,18,3905.949444444445
CUST0086,0.00018132886120770012,39830.18,7.22,0,Loyal Customers,4,3,4,Discount + Personalized Outreach,32,12,3319.181666666667
CUST0087,0.984871175027543,21824.71,21494.53,1,Hibernating,2,2,3,Reactivation Email Series,119,8,2728.08875
CUST0088,4.399512587490598e-06,46663.35,0.21,0,Loyal Customers,5,3,4,Discount + Personalized Outreach,28,11,4242.122727272727
CUST0089,0.952162044328366,33493.43,31891.17,1,At Risk,2,3,4,Urgent Win-back Campaign,105,11,3044.8572727272726
CUST0090,3.204955561570342e-06,53397.98,0.17,0,Loyal Customers,5,3,5,Discount + Personalized Outreach,13,10,5339.798
CUST0091,1.9807610800347042e-06,62169.43,0.12,0,Loyal Customers,5,3,5,Discount + Personalized Outreach,13,13,4782.263846153846
CUST0092,1.1618693936063713e-06,60060.41,0.07,0,Champions,5,4,5,Discount + Personalized Outreach,10,15,4004.027333333333
CUST0093,0.9354179451499325,67388.34,63036.26,1,At Risk,2,4,5,Urgent Win-back Campaign,97,17,3964.02
CUST0094,1.2136505601311278e-06,14596.2,0.02,0,New Customers,5,2,3,Discount + Personalized Outreach,8,9,1621.8
CUST0095,0.049919991186141696,47455.79,2368.99,0,Loyal Customers,3,3,4,Discount + Personalized Outreach,69,10,4745.579
CUST0096,0.0003173096632685382,49113.03,15.58,0,Champions,4,4,4,Discount + Personalized Outreach,47,15,3274.202
CUST0097,0.12818031805529312,54704.1,7011.99,0,Loyal Customers,3,3,5,Discount + Personalized Outreach,77,12,4558.675
CUST0098,0.0002846402153462745,50220.58,14.29,0,Loyal Customers,4,3,5,Discount + Personalized Outreach,38,12,4185.048333333333
CUST0099,0.00047883078162021513,77539.81,37.13,0,Loyal Customers,4,3,5,Discount + Personalized Outreach,48,13,5964.600769230769
CUST0100,0.9974996168198873,25793.34,25728.85,1,Hibernating,2,1,4,Reactivation Email Series,127,3,8597.78
CUST0101,1.910651744933093e-06,58703.89,0.11,0,Loyal Customers,5,3,5,Discount + Personalized Outreach,19,11,5336.717272727273
CUST0102,4.7213665191610654e-06,36744.21,0.17,0,New Customers,5,2,4,Discount + Personalized Outreach,21,9,4082.69
CUST0103,0.00041606222039182103,47320.34,19.69,0,Loyal Customers,4,3,4,Discount + Personalized Outreach,47,11,4301.849090909091
CUST0104,1.1421383066545164e-06,62942.0,0.07,0,Loyal Customers,5,3,5,Discount + Personalized Outreach,8,13,4841.692307692308
CUST0105,0.00017004401808868902,52754.8,8.97,0,Champions,4,4,5,Discount + Personalized Outreach,32,16,3297.175
CUST0106,7.540175459863931e-07,32581.35,0.02,0,Loyal Customers,5,3,4,Discount + Personalized Outreach,2,14,2327.2392857142854
CUST0107,0.9958748570105983,32970.86,32834.85,1,At Risk,2,3,4,Urgent Win-back Campaign,151,12,2747.5716666666667
CUST0108,2.7625661597731155e-06,61085.16,0.17,0,New Customers,5,2,5,Discount + Personalized Outreach,6,9,6787.24
CUST0109,0.0003595572373577688,63446.61,22.81,0,Loyal Customers,4,3,5,Discount + Personalized Outreach,38,12,5287.2175
CUST0110,1.726321337285132e-06,79312.65,0.14,0,Champions,5,4,5,Discount + Personalized Outreach,23,17,4665.45
CUST0111,2.506145482717401e-06,42458.47,0.11,0,Loyal Customers,5,3,4,Discount + Personalized Outreach,28,10,4245.847
CUST0112,0.9991653413961652,34020.4,33992.0,1,Hibernating,2,2,4,Reactivation Email Series,172,8,4252.55
CUST0113,2.6298553386669957e-06,34155.2,0.09,0,Loyal Customers,5,3,4,Discount + Personalized Outreach,24,12,2846.2666666666664
CUST0114,0.0009944492061839286,40723.11,40.5,0,New Customers,4,2,4,Discount + Personalized Outreach,58,9,4524.79
CUST0115,0.9565170528983657,40441.12,38682.62,1,At Risk,2,3,4,Urgent Win-back Campaign,104,13,3110.855384615385
CUST0116,1.9206677978999175e-06,61872.2,0.12,0,Champions,5,4,5,Discount + Personalized Outreach,18,15,4124.8133333333335
CUST0117,0.0003141225194641856,77299.66,24.28,0,Champions,4,5,5,Discount + Personalized Outreach,47,20,3864.983
CUST0118,0.9528379323531138,36974.46,35230.67,1,At Risk,2,3,4,Urgent Win-back Campaign,105,11,3361.314545454545
CUST0119,8.880742784887598e-07,39668.98,0.04,0,Champions,5,4,4,Discount + Personalized Outreach,11,15,2644.5986666666668
CUST0120,0.0008388187957174099,28817.56,24.17,0,New Customers,4,2,4,Discount + Personalized Outreach,52,8,3602.195
CUST0121,0.999991416164,49090.43,49090.01,1,Cant Lose Them,1,4,4,Urgent Win-back Campaign,203,15,3272.6953333333336
CUST0122,2.3114016239597244e-06,14866.04,0.03,0,New Customers,5,2,3,Discount + Personalized Outreach,27,8,1858.255
CUST0123,6.555164679311915e-07,47475.63,0.03,0,Loyal Customers,5,3,4,Discount + Personalized Outreach,1,12,3956.3025
CUST0124,3.5779109753448684e-06,52129.04,0.19,0,Champions,5,4,5,Discount + Personalized Outreach,22,18,2896.057777777778
CUST0125,0.16084257066088484,20673.57,3325.19,0,Loyal Customers,3,3,3,Discount + Personalized Outreach,89,10,2067.357
CUST0126,0.985370822184585,45505.32,44839.61,1,At Risk,2,3,4,Urgent Win-back Campaign,124,10,4550.532
CUST0127,1.3039233491441246e-06,16967.64,0.02,0,Loyal Customers,5,3,3,Discount + Personalized Outreach,15,10,1696.764
CUST0128,3.756754000001975e-06,59767.73,0.22,0,Champions,5,4,5,Discount + Personalized Outreach,22,15,3984.5153333333337
CUST0129,1.1702369620582586e-06,48138.28,0.06,0,Champions,5,4,4,Discount + Personalized Outreach,13,15,3209.218666666666
CUST0130,1.15851955952109e-06,57102.7,0.07,0,Champions,5,4,5,Discount + Personalized Outreach,14,19,3005.4052631578948
CUST0131,0.0012093000838727219,57507.88,69.54,0,Loyal Customers,4,3,5,Discount + Personalized Outreach,57,12,4792.323333333333
CUST0132,4.645778645450949e-06,20633.84,0.1,0,Loyal Customers,5,3,3,Discount + Personalized Outreach,30,11,1875.8036363636363
CUST0133,0.9981669753845746,32179.08,32120.09,1,At Risk,2,3,4,Urgent Win-back Campaign,153,10,3217.9080000000004
CUST0134,3.051943035183801e-06,21757.06,0.07,0,Loyal Customers,5,3,3,Discount + Personalized Outreach,26,11,1977.9145454545453
CUST0135,0.9999999718353417,21755.91,21755.91,1,Hibernating,1,2,3,Reactivation Email Series,308,5,4351.182
CUST0136,3.1728651492003523e-06,56697.81,0.18,0,Loyal Customers,5,3,5,Discount + Personalized Outreach,27,14,4049.843571428572
CUST0137,0.14577561341577294,28884.01,4210.58,0,Loyal Customers,3,3,4,Discount + Personalized Outreach,87,10,2888.4010000000003
CUST0138,0.999992896361704,46448.2,46447.87,1,Hibernating,1,2,4,Reactivation Email Series,198,7,6635.457142857143
CUST0139,0.995745163169036,26807.76,26693.7,1,Hibernating,2,2,4,Reactivation Email Series,152,8,3350.9700000000003
CUST0140,0.050432221115876516,33857.07,1707.49,0,Loyal Customers,3,4,4,Discount + Personalized Outreach,68,17,1991.5923529411764
CUST0141,0.001452340932651483,61438.78,89.23,0,Loyal Customers,4,3,5,Discount + Personalized Outreach,51,14,4388.484285714286
CUST0142,0.0005187539457894391,34156.93,17.72,0,Loyal Customers,4,3,4,Discount + Personalized Outreach,50,11,3105.1754545454546
CUST0143,0.0008308488206280418,27656.37,22.98,0,Loyal Customers,4,3,4,Discount + Personalized Outreach,48,10,2765.637
CUST0144,0.9697068707988074,40858.8,39621.06,1,At Risk,2,3,4,Urgent Win-back Campaign,102,14,2918.4857142857145
CUST0145,1.1062129524732346e-06,17580.19,0.02,0,New Customers,5,2,3,Discount + Personalized Outreach,9,7,2511.4557142857143
CUST0146,1.306523807333717e-06,50092.11,0.07,0,Loyal Customers,5,3,5,Discount + Personalized Outreach,2,12,4174.3425
CUST0147,0.04801296542572262,39015.21,1873.24,0,Potential Loyalists,3,2,4,Discount + Personalized Outreach,62,7,5573.601428571428
CUST0148,0.0004188013797720587,43863.56,18.37,0,Loyal Customers,4,3,4,Discount + Personalized Outreach,47,11,3987.596363636364
CUST0149,0.11616858032376604,41526.85,4824.12,0,Loyal Customers,3,4,4,Discount + Personalized Outreach,78,17,2442.755882352941
CUST0150,0.9999860057240664,28854.68,28854.28,1,Cant Lose Them,1,3,4,Urgent Win-back Campaign,188,11,2623.152727272727
CUST0151,1.981576637168478e-06,57042.49,0.11,0,Loyal Customers,5,3,5,Discount + Personalized Outreach,8,12,4753.5408333333335
CUST0152,1.989662050241047e-06,43022.06,0.09,0,New Customers,5,2,4,Discount + Personalized Outreach,17,9,4780.22888888889
CUST0153,1.073216866193608e-06,42662.94,0.05,0,Loyal Customers,5,3,4,Discount + Personalized Outreach,4,14,3047.3528571428574
CUST0154,0.0001620938316022634,9206.94,1.49,0,New Customers,4,2,2,Discount + Personalized Outreach,32,8,1150.8675
CUST0155,0.0731284220387661,42661.08,3119.74,0,Loyal Customers,3,3,4,Discount + Personalized Outreach,65,14,3047.2200000000003
CUST0156,1.4724650376742914e-06,35308.85,0.05,0,Loyal Customers,5,3,4,Discount + Personalized Outreach,8,11,3209.8954545454544
CUST0157,1.1949327177861374e-06,48751.91,0.06,0,Loyal Customers,5,3,4,Discount + Personalized Outreach,8,10,4875.191000000001
CUST0158,0.03794873229784648,78075.47,2962.87,0,Loyal Customers,3,4,5,Discount + Personalized Outreach,65,17,4592.674705882353
CUST0159,0.0004529833894900512,32687.91,14.81,0,Loyal Customers,4,3,4,Discount + Personalized Outreach,51,14,2334.8507142857143
CUST0160,3.381814245452734e-06,23783.83,0.08,0,New Customers,5,2,3,Discount + Personalized Outreach,25,9,2642.647777777778
CUST0161,0.0005895006961793445,40428.77,23.83,0,Loyal Customers,4,3,4,Discount + Personalized Outreach,56,12,3369.0641666666666
CUST0162,0.14041109252601602,56760.52,7969.81,0,Loyal Customers,3,4,5,Discount + Personalized Outreach,90,16,3547.5325000000003
CUST0163,0.0005310208740587047,50358.63,26.74,0,Loyal Customers,4,3,5,Discount + Personalized Outreach,44,12,4196.552500000001
CUST0164,0.9999999744469221,28822.24,28822.24,1,Hibernating,1,2,4,Reactivation Email Series,316,6,4803.706666666667
CUST0165,0.05000800230316193,79229.24,3962.1,0,Loyal Customers,3,4,5,Discount + Personalized Outreach,72,18,4401.624444444445
CUST0166,0.9894642058839132,54672.78,54096.76,1,At Risk,2,4,5,Urgent Win-back Campaign,129,16,3417.04875
CUST0167,1.6785742943936455e-06,51738.75,0.09,0,Champions,5,4,5,Discount + Personalized Outreach,10,17,3043.455882352941
CUST0168,0.271152437910169,28552.08,7741.97,0,Loyal Customers,3,3,4,Discount + Personalized Outreach,89,11,2595.6436363636367
CUST0169,2.3771632920300507e-06,35801.44,0.09,0,New Customers,5,2,4,Discount + Personalized Outreach,18,9,3977.937777777778
CUST0170,0.06856170303717296,65690.43,4503.85,0,Loyal Customers,3,4,5,Discount + Personalized Outreach,72,17,3864.142941176471
CUST0171,0.058229248025087076,61217.94,3564.67,0,Loyal Customers,3,4,5,Discount + Personalized Outreach,71,15,4081.196
CUST0172,4.946125456218844e-06,42727.17,0.21,0,New Customers,5,2,4,Discount + Personalized Outreach,25,8,5340.89625
CUST0173,3.61090753705135e-06,30034.57,0.11,0,Loyal Customers,5,3,4,Discount + Personalized Outreach,20,10,3003.457
CUST0174,0.9917085022848962,29766.77,29519.96,1,At Risk,2,3,4,Urgent Win-back Campaign,132,13,2289.7515384615385
CUST0175,0.0004442413557862335,45603.91,20.26,0,Loyal Customers,4,3,4,Discount + Personalized Outreach,51,11,4145.81
CUST0176,2.043434007515617e-06,57137.09,0.12,0,Champions,5,4,5,Discount + Personalized Outreach,13,15,3809.139333333333
CUST0177,0.9512310304043818,36298.34,34528.11,1,Hibernating,2,2,4,Reactivation Email Series,98,8,4537.2925
CUST0178,0.9962571211684114,41252.46,41098.06,1,At Risk,2,3,4,Urgent Win-back Campaign,158,11,3750.223636363636
CUST0179,9.75185001769411e-06,42833.76,0.42,0,Loyal Customers,5,3,4,Discount + Personalized Outreach,29,10,4283.376
CUST0180,0.10503194185267331,48114.45,5053.55,0,Loyal Customers,3,4,4,Discount + Personalized Outreach,77,15,3207.63
CUST0181,4.672620972246882e-06,10970.42,0.05,0,New Customers,5,1,3,Discount + Personalized Outreach,19,4,2742.605
CUST0182,0.9824453964370207,35248.05,34629.28,1,At Risk,2,3,4,Urgent Win-back Campaign,125,12,2937.3375
CUST0183,0.16096878772751758,51050.23,8217.49,0,Potential Loyalists,3,2,5,Discount + Personalized Outreach,80,9,5672.2477777777785
CUST0184,0.0004901495312727238,51919.06,25.45,0,Champions,4,4,5,Discount + Personalized Outreach,57,15,3461.2706666666663
CUST0185,0.07820741421516379,56675.43,4432.44,0,Loyal Customers,3,3,5,Discount + Personalized Outreach,69,14,4048.245
CUST0186,0.9999990583798055,33333.83,33333.8,1,Hibernating,1,2,4,Reactivation Email Series,220,8,4166.72875
CUST0187,0.0003610126819387421,35881.28,12.95,0,Loyal Customers,4,3,4,Discount + Personalized Outreach,33,10,3588.128
CUST0188,0.09347707731427633,46866.18,4380.91,0,Loyal Customers,3,3,4,Discount + Personalized Outreach,78,11,4260.561818181818
CUST0189,1.9638594678792113e-06,49475.79,0.1,0,Loyal Customers,5,3,4,Discount + Personalized Outreach,18,12,4122.982499999999
CUST0190,0.16258874570277104,24844.26,4039.4,0,Potential Loyalists,3,2,3,Discount + Personalized Outreach,85,7,3549.18
CUST0191,1.9378676959826564e-06,41667.7,0.08,0,Loyal Customers,5,3,4,Discount + Personalized Outreach,19,11,3787.972727272728
CUST0192,1.4757974583017506e-06,31969.84,0.05,0,Loyal Customers,5,3,4,Discount + Personalized Outreach,5,11,2906.349090909091
CUST0193,0.10452953700750449,70354.63,7354.14,0,Loyal Customers,3,4,5,Discount + Personalized Outreach,79,15,4690.308666666666
CUST0194,0.9949909686943921,35281.89,35105.16,1,Hibernating,2,2,4,Reactivation Email Series,151,8,4410.23625
CUST0195,2.450624074681219e-06,25145.61,0.06,0,Loyal Customers,5,3,4,Discount + Personalized Outreach,19,10,2514.561
CUST0196,0.9999997630758322,53669.15,53669.14,1,Hibernating,1,2,5,Reactivation Email Series,263,8,6708.64375
CUST0197,0.0004679355261627368,15679.14,7.34,0,New Customers,4,2,3,Discount + Personalized Outreach,44,7,2239.877142857143
CUST0198,0.98532979217389,28138.47,27725.67,1,At Risk,2,4,4,Urgent Win-back Campaign,125,15,1875.898
CUST0199,0.9506028025189509,67806.0,64456.57,1,At Risk,2,3,5,Urgent Win-back Campaign,101,11,6164.181818181818
CUST0200,4.2808916148457305e-06,67710.08,0.29,0,Loyal Customers,5,3,5,Discount + Personalized Outreach,24,12,5642.506666666667
CUST0201,0.00029488426888898966,28224.68,8.32,0,Loyal Customers,4,3,4,Discount + Personalized Outreach,41,10,2822.468
CUST0202,1.580326989632809e-06,29235.19,0.05,0,Loyal Customers,5,3,4,Discount + Personalized Outreach,10,10,2923.519
CUST0203,0.0002518439277330859,50862.08,12.81,0,Loyal Customers,4,3,5,Discount + Personalized Outreach,33,11,4623.825454545455
CUST0204,1.1393473251791274e-06,66583.5,0.08,0,Champions,5,4,5,Discount + Personalized Outreach,9,15,4438.9
CUST0205,2.5509516164820664e-06,40359.52,0.1,0,Loyal Customers,5,3,4,Discount + Personalized Outreach,25,11,3669.047272727272
CUST0206,1.9115396630005885e-06,30552.25,0.06,0,Loyal Customers,5,3,4,Discount + Personalized Outreach,18,11,2777.4772727272725
CUST0207,0.0007597932026176927,21245.83,16.14,0,New Customers,4,2,3,Discount + Personalized Outreach,58,9,2360.647777777778
CUST0208,0.0012444382675639157,36804.65,45.8,0,Loyal Customers,4,3,4,Discount + Personalized Outreach,57,11,3345.877272727273
CUST0209,2.5406535271230686e-06,44097.34,0.11,0,Loyal Customers,5,3,4,Discount + Personalized Outreach,30,14,3149.8100000000004
CUST0210,0.0007115043602637016,63794.52,45.39,0,Loyal Customers,4,3,5,Discount + Personalized Outreach,60,11,5799.501818181818
CUST0211,0.0004585672935522416,54172.72,24.84,0,Loyal Customers,4,3,5,Discount + Personalized Outreach,42,12,4514.393333333333
CUST0212,3.5621022739843275e-06,44367.81,0.16,0,New Customers,5,2,4,Discount + Personalized Outreach,29,9,4929.756666666666
CUST0213,0.9864217007399161,37644.83,37133.68,1,At Risk,2,3,4,Urgent Win-back Campaign,127,11,3422.2572727272727
CUST0214,1.2339877919698424e-06,54021.03,0.07,0,Loyal Customers,5,3,5,Discount + Personalized Outreach,7,13,4155.463846153846
CUST0215,0.0005477539785998757,44025.12,24.11,0,Loyal Customers,4,3,4,Discount + Personalized Outreach,54,11,4002.283636363636
CUST0216,0.08855452801087943,48141.99,4263.19,0,Loyal Customers,3,3,4,Discount + Personalized Outreach,82,12,4011.8325
